Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10265-1","Creator Expert","Vehicles",2019,"Ford Mustang",,1471,149.99,169.99,209.99,169.99,5702016368260,673419302425,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,121.7000,85.9400,"01/03/2019","31/12/2023"
"75301-1","Star Wars","Episode IV",2021,"Luke Skywalker's X-wing Fighter",4,474,44.99,49.99,69.99,49.99,5702016913965,673419340724,38.2,26.2,7.1,0.71,"",0,0,0,,0,0,,,,,,,,,44.5000,27.7600,"01/01/2021","31/12/2023"
"10280-1","Icons","Botanical Collection",2021,"Flower Bouquet",,756,54.99,59.99,79.99,59.99,5702016913767,673419340526,26.2,38.2,7.1,0.76,"",0,0,0,,0,0,,,,,,,,,49.7000,32.6400,"01/01/2021","31/12/2025"
"75208-1","Star Wars","Episode V",2018,"Yoda's Hut",3,229,25.99,29.99,34.99,29.99,5702016109368,673419281034,26.2,19.1,6.1,0.38,"",0,0,0,,0,0,,,,,,,,,46.3700,34.8400,"20/04/2018","31/12/2019"
"10245-1","Creator Expert","Winter Village Collection",2014,"Santa's Workshop",6,883,59.99,69.99,89.99,69.99,5702015122696,,48,28,6,0.99,"",0,0,0,,0,0,,,,,,,,,197.1800,154.3600,"01/10/2014","31/12/2016"
"75038-1","Star Wars","Episode III",2014,"Jedi Interceptor",2,223,19.99,24.99,29.99,29.99,5702015121163,673419209366,26.1874,19.1008,6.096,0.34,"",0,0,0,,0,0,,,,,,,,,78.5500,26.4700,"01/01/2014","31/12/2015"
"7639-1","City","Great Outdoors",2009,"Camper",2,165,14.99,16.99,19.99,,5702014534506,673419112482,26.2,19.1,6.1,0.32,"",0,0,0,,0,0,,,,,,,,,35.9300,10.5400,"01/06/2009","31/12/2011"
"8017-1","Star Wars","Episode IV",2009,"Darth Vader's TIE Fighter",1,251,34.99,29.99,39.99,,5702014533257,673419111799,38.2,26.2,7.05,0.55,"",0,0,0,,0,0,,,,,,,,,185.1200,54.1900,"01/01/2009","31/12/2010"
"75078-1","Star Wars","Rebels",2015,"Imperial Troop Transport",4,141,11.99,12.99,15.99,16.99,5702015351133,673419230117,19.1008,14.097,4.5974,0.1589,"",0,0,0,,0,0,,,,,,,,,30.4800,20.9100,"01/01/2015","31/12/2016"
"75266-1","Star Wars","Episode IX",2020,"Sith Troopers Battle Pack",4,105,12.99,14.99,19.99,14.99,5702016617122,673419317238,19.1,14.1,4.6,0.12,"",0,0,0,,0,0,,,,,,,,,17.4500,13.6800,"01/01/2020","31/07/2021"
"75101-1","Star Wars","Episode VII",2015,"First Order Special Forces TIE Fighter",4,517,64.99,69.99,89.99,69.99,5702015352130,673419231282,35.4076,37.7952,7.0612,0.9207917,"",0,0,0,,0,0,,,,,,,,,90.0300,50.6500,"04/09/2015","30/04/2016"
"21034-1","Architecture","Skylines",2017,"London",,468,34.99,39.99,49.99,39.99,5702015865333,673419264419,26.2,19.1,6.1,0.62,"",0,0,0,,0,0,,,,,,,,,29.5100,20.5100,"01/01/2017","31/12/2025"
"75094-1","Star Wars","Episode VI",2015,"Imperial Shuttle Tydirium",5,937,79.99,99.99,119.99,99.99,5702015352376,673419231336,35.4076,37.7952,9.398,1.4301,"",0,0,0,,0,0,,,,,,,,,197.2300,121.8900,"01/06/2015","31/12/2016"
"40220-1","Creator","Promotional",2016,"London Bus",,118,,9.99,11.99,,5702015595407,673419250313,14,20.1,6,,"",0,0,0,,0,0,,,,,,,,,13.3100,9.8100,"01/06/2016","31/12/2024"
"75132-1","Star Wars","Episode VII",2016,"First Order Battle Pack",4,88,11.99,12.99,15.99,16.99,,673419247122,19.1008,14.097,4.5974,0.1179339,"",0,0,0,,0,0,,,,,,,,,19.0000,12.8100,"01/01/2016","31/12/2017"
"75957-1","Harry Potter","Prisoner of Azkaban",2019,"The Knight Bus",3,403,34.99,39.99,49.99,39.99,5702016542714,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,42.8100,26.6600,"01/06/2019","31/12/2021"
